year,count,country,title
Canada,2010.0,Utilisation d'un biosolvant pour le recyclage d'un materiau polymere ou d'asphalte et la depollution d'eaux souillees par un hydrocarbure,1
Canada,2010.0,Procede de detection et de quantification d'analytes d'interet dans un liquide et dispositif de mise en oeuvre,1
Canada,2011.0,Healthcare facility disinfecting process and system with oxygen/ozone mixture,1
Canada,2012.0,Dispositif de mesure de la spasticite,1
Canada,2013.0,Procede de preparation d'alliage polymere/entites biologiques,1
Canada,2013.0,Conditionally active ph-dependent cetuximab variant anti-epidermal growth factor receptor antibodies and method of use thereof,1
Canada,2014.0,Apparatus and methods to monitor and control cyclic process units in a steady plant environment,1
Canada,2014.0,Systeme et methode de traitement d'eau usee utilisant la capture passive de phosphore,1
Canada,2014.0,Delivery vehicle mixing drum concrete volume reporting,1
Canada,2014.0,Heat treatment monitoring system,1
Canada,2015.0,Composes derives de la solanidine,1
Canada,2015.0,Dynamic segregation monitoring of concrete,1
Canada,2015.0,Nouveaux derives d'indolizine leur procede de preparation et les compositions pharmaceutiques qui les contiennent,1
Canada,2016.0,Systeme de prelevement de sediments sur un fond d'un milieu liquide,1
Canada,2016.0,Methods and compositions for concrete production,1
Canada,2017.0,Pores comprising mutant csgg monomers,1
Canada,2017.0,Remote access system and method for plant pathogen management,1
Canada,2017.0,Chimeric proteins and methods of regulating gene expression,1
Canada,2018.0,Plant growing apparatus and method,1
Canada,2019.0,Method and system for performing data analysis for plant phenotyping,1
Canada,2019.0,Procede et dispositif de determination predictive de parametres caracteristiques du fonctionnement d'un aeronef a voilure tournante pour la realisation d'une manoeuvre predeterminee,1
Canada,2019.0,Methods and systems for the industrial internet of things,1
Canada,2019.0,Controlled agricultural system and method for agriculture,1
Canada,2019.0,Liquid fuel production system having parallel product gas generation,1
Canada,2020.0,Dispositif destine a etre positionne a proximite d'une articulation et systeme general comportant un tel dispositif,1
Canada,2020.0,Platform for facilitating development of intelligence in an industrial internet of things system,1
Canada,2020.0,Improved consistency of crop yield through biological nitrogen fixation,1
Canada,2020.0,Temporally and spatially targeted dynamic nitrogen delivery by remodeled microbes,1
Canada,2020.0,Controlled agricultural systems and methods of managing agricultural systems,1
Canada,2021.0,Substitut de matiere grasse animale,1
Canada,2021.0,A method for obtaining data from an image of an object of a user that has a biometric characteristic of the user,1
Canada,2021.0,Intelligent vibration digital twin systems and methods for industrial environments,1
Canada,2021.0,Control tower and enterprise management platform for value chain networks,1
Canada,2021.0,Artificial intelligence selection and configuration,1
Canada,2022.0,Sonde robotisee de tele-echographie,1
Canada,2022.0,Quantum biological computer vision and neural network systems for industrial internet of things,1
Canada,2022.0,Industrial digital twin systems and methods with echelons of executive advisory and operations messaging and visualization,1
Canada,2022.0,Systems and methods for controlling rights related to digital knowledge,1
China,2006.0,带有剥离器的打印机,1
China,2006.0,一种种植植物的装置,1
China,2007.0,手持x射线设备、x射线分析方法及牙科成像法,1
China,2007.0,用于形成高级烯烃多嵌段共聚物的包含梭移剂的催化剂组合物,1
China,2007.0,调色剂及其生产方法、图像形成装置和图像形成方法及处理盒,1
China,2007.0,一种水力驱动的水池清洁机,1
China,2007.0,一种自动烧焖烹调方法,1
China,2007.0,灌注的三维细胞/组织疾病模型,1
China,2007.0,混凝土泵排量的测量方法及其装置,1
China,2007.0,基于外部压力的胃束带调节系统和方法,1
China,2007.0,用于确定植入装置位置和获得压力数据的系统和方法,1
China,2007.0,静电显影调色剂及其制备方法、静电显影剂和成像方法,1
China,2007.0,利用农林生物质生产轻基质的综合处理方法及装置,1
China,2007.0,联合收割机,1
China,2007.0,移动式集装箱颗粒散装货物装载机,1
China,2008.0,储油层样本监管链,1
China,2008.0,用于电化学装置的稳定电解质反阴离子,1
China,2008.0,流体可调节限制装置中的非侵入压力测量,1
China,2008.0,弹性体组合物,1
China,2008.0,脂肪酸组成的高产量筛选,1
China,2008.0,经由非共价相互作用递送生物活性剂的方法、组合物及成形物件,1
China,2008.0,一种集成电路块全自动检测编带方法及其全自动托盘式检测编带机,1
China,2008.0,用于将煤转化为特定组分的气体的系统,1
China,2008.0,由重烃进料生产渣油减少的无底产物的方法和系统,1
China,2008.0,调色剂、使用其的成像装置和成像方法以及处理盒,1
China,2008.0,用于活性试剂向细胞的递送的多价rna纳粒,1
China,2008.0,人工智能植物生长环境调控专家决策系统,1
China,2008.0,电池组和电池模块以及用于运行电池模块的方法,1
China,2008.0,用于从食物液体制备泡沫的器具和方法,1
China,2008.0,配有交流发电机的内燃机,1
China,2008.0,再循环微流体设备和使用方法,1
China,2008.0,肟酯光敏引发剂,1
China,2008.0,用于流体的可编程微量操作的剂量计,1
China,2008.0,用于处理微流体装置的分析仪器,1
China,2008.0,异步混和及供应化学溶液的方法和装置,1
China,2008.0,通过血清视黄醇、血清视黄醇结合蛋白(rbp)和/或血清视黄醇-rbp调节治疗眼部疾病的方法和组合物,1
China,2009.0,使用Dickkopf-1和/或-4抗体的组合物和方法,1
China,2009.0,设置凹凸结构的光学薄膜的制造方法、光学薄膜、线栅偏振组件和相位差薄膜,1
China,2009.0,用于遗传和化学分析的单分子阵列,1
China,2009.0,用于软光刻法的复合构图设备,1
China,2009.0,用于自动调整样品的细菌培养液水平的设备,1
China,2009.0,用于处理封闭容器中的样品的系统和方法以及相关装置,1
China,2009.0,增塑的多相聚烯烃共混物,1
China,2009.0,用于检测组织特性具有传感器的外科器械，和使用所述器械的系统,1
China,2009.0,人il-17的抗体分子,1
China,2009.0,饮料分配,1
China,2009.0,用于形成纤维的生物可降解聚乳酸,1
China,2009.0,用于炼油工艺中的流体分析的样品板,1
China,2009.0,具有芳基胺聚合物的电子器件,1
China,2009.0,减震装置和具有该减震装置的构造物,1
China,2009.0,用于细胞操作及电生理信号检测的微电极阵列器件及专用装置,1
China,2009.0,药物存储及发放装置以及包括该装置的系统,1
China,2009.0,美容角蛋白纤维的方法和包装组件,1
China,2009.0,喷砂方法和喷砂机,1
China,2009.0,用来增强固体燃料性质的方法和系统,1
China,2009.0,用于图像形成装置的调色剂,1
China,2009.0,调色剂,1
China,2009.0,气体调整系统,1
China,2009.0,图像形成设备,1
China,2009.0,移动放射设备的定位调整,1
China,2009.0,垃圾桶及垃圾收运系统,1
China,2009.0,用于将含碳原料转化成气体的控制系统,1
China,2009.0,分析物传感器,1
China,2009.0,一种治疗感冒咳嗽及急慢性支气管炎的组合药物及其制备方法,1
China,2009.0,调色剂和图像形成方法,1
China,2009.0,芬太尼舌下喷雾剂,1
China,2009.0,调色剂、显影剂和成像方法,1
China,2009.0,用于产生、施加和中和电化学活化液体的方法和装置,1
China,2009.0,具有哺乳动物皮肤特性的基质,1
China,2009.0,用于生成多元醇的方法和系统,1
China,2009.0,制备过氧羧酸的装置和方法,1
China,2009.0,一种柜式多功能自动烹饪机,1
China,2009.0,动脉粥样硬化切除术装置和方法,1
China,2010.0,用于分配液体的装置,2
China,2010.0,向量投射显示器的扫描循环方法及系统,1
China,2010.0,从硫化物的矿石、精矿或其他进料中回收贵金属的方法,1
China,2010.0,用于控制工程机械的方法和控制系统,1
China,2010.0,试样分析装置,1
China,2010.0,固醇修饰的两亲脂质,1
China,2010.0,递送装置及方法,1
China,2010.0,配方指令步骤及来自外部逻辑的配方输入,1
China,2010.0,三维液压可控的用于替换椎体的选择性扩张式椎间融合器,1
China,2010.0,一体型空调机,1
China,2010.0,节能环保型双孢菇工厂化生产设备及设施,1
China,2010.0,使用乳酸作为指示剂用于离体器官护理的系统和方法,1
China,2010.0,包含光催化过滤器的净化器,1
China,2010.0,清理流入流出水域的垃圾的机器人平底船及自动垃圾筛除系统,1
China,2010.0,冷媒填充装置、冷冻装置以及冷媒填充方法,1
China,2010.0,触摸屏及触摸屏的驱动方法,1
China,2010.0,用于施加农药给多年生作物的装置和方法,1
China,2010.0,培养链球菌的发酵工艺以及从中提取cps的纯化工艺,1
China,2010.0,调节细胞膜介导的细胞内信号转导的组合物和方法,1
China,2010.0,贝类定位和打开设备,1
China,2010.0,炊具,1
China,2010.0,复合起偏振片、层压光学部件以及使用了它们的图像显示装置,1
China,2011.0,实现放大的动电流体泵吸改变和脱盐的装置及方法,1
China,2011.0,管件下送工具及使用方法,1
China,2011.0,动脉斑块旋切术装置,1
China,2011.0,将能量应用于身体组织的方法和装置,1
China,2011.0,用于现场设备的无线通信适配器,1
China,2011.0,一种泥水平衡式盾构模拟试验系统,1
China,2011.0,具有部件支架的配量系统,1
China,2011.0,调色剂、显影剂及成像方法,1
China,2011.0,控制用于分配和共混/混合饮料配料的集成系统的控制器及方法,1
China,2011.0,分配器和再装填单元,1
China,2011.0,触摸传感器及其驱动方法以及显示设备,1
China,2011.0,可调布拉格堆叠,1
China,2011.0,用于管理无功功率的系统、设备和方法,1
China,2011.0,具有等离子熔融功能的多段碳转化系统,1
China,2011.0,具有微通道的器官模仿装置及其使用和制造方法,1
China,2011.0,用于研究流道的装置,1
China,2011.0,一种高速发酵天然有机垃圾处理机,1
China,2011.0,显示装置及其制造方法,1
China,2011.0,纤维素衍生物及其制备方法、纤维素树脂组合物、模制物及其制备方法、以及电气和电子设备外壳,1
China,2011.0,通过数据融合解决的运动检测的指示器,1
China,2011.0,用于提高氟替卡松颗粒结晶度的方法,1
China,2011.0,内燃机,1
China,2011.0,沥青路面坑槽智能化修补车,1
China,2011.0,用于电子设备的电子子组件,1
China,2011.0,光检测装置,1
China,2011.0,用于测试分析物的成像分析仪,1
China,2011.0,伤口愈合装置,1
China,2011.0,光学元件、窗材料、房屋隔断构件及日照遮蔽装置,1
China,2011.0,一种高真空压铸用真空装置,1
China,2011.0,用于支撑近海风力涡轮机的不对称系泊系统和带有水收集板的支柱稳定式近海平台,1
China,2011.0,用于清洁车辆内部以及hvac系统的雾生成设备,1
China,2011.0,超吸收聚合物毡及其制造方法,1
China,2011.0,用于电容性消电离的电极,1
China,2011.0,用于清洗飞行器燃气涡轮发动机的喷射设备和清洗系统,1
China,2011.0,用于分解包括诸如硫化橡胶轮胎等含硫聚合物产品并从中回收资源的方法和设备,1
China,2011.0,用于辅助吞咽的组合物及方法,1
China,2011.0,热泵系统及操作方法,1
China,2012.0,带有散热器结构的装置,1
China,2012.0,使用代码从用于饮料制备的胶囊向用户提供信息的方法,1
China,2012.0,牵引输能源式涵道旋翼飞吊器及其控制方法,1
China,2012.0,一种全自动多工位焊接系统,1
China,2012.0,植物栽培系统,1
China,2012.0,微流体系统中的流体混合和递送,1
China,2012.0,用于检测被分析物的光电方法和装置,1
China,2012.0,与电容式触摸屏一同使用的材料,1
China,2012.0,幅材制备工艺中专用的重复缺陷检测,1
China,2012.0,动脉回流确认室,1
China,2012.0,用于在固体或半固体介质上表征微生物的方法,1
China,2012.0,移动椭圆形驱动的装置和转向机构,1
China,2012.0,显示装置,1
China,2012.0,蓝牙通信方法及应用此方法的终端,1
China,2012.0,将个人厨艺自动转为电子程序并可自动烹调的方法及设备,1
China,2012.0,图案形成设备、图案形成方法及装置制造方法,1
China,2012.0,微生物浓集方法和装置,1
China,2012.0,全景图像显示装置和全景图像显示方法,1
China,2012.0,一种水面污染检测及跟踪机器人,1
China,2012.0,全程清洁化智能茶叶连续加工成套设备,1
China,2012.0,加热的液体用的容器和电器装置,1
China,2012.0,法兰连接结构,1
China,2012.0,多元件x射线辐射探测器、用于其的稀土x射线发光体和用于将多元件闪烁器和探测器形成为整体的方法,1
China,2012.0,用于提供液态的还原剂的装置,1
China,2012.0,多功能性导电性/透明的/挠性膜的制造,1
China,2012.0,鞘流装置和方法,1
China,2012.0,成像并评估胚胎、卵母细胞和干细胞,1
China,2012.0,模制热致性液晶聚合物及由其制成的制品,1
China,2012.0,一种处理高含盐量的混合废水的方法和专用系统,1
China,2013.0,隔膜和非水电解质电池,1
China,2013.0,姜黄素-多糖类偶联物及其制备方法与应用,1
China,2013.0,集成的可扩展麻醉系统,1
China,2013.0,用于测试多个样本的设备和方法,1
China,2013.0,餐厨垃圾全方位处理的集成化装备,1
China,2013.0,用于控制燃烧过程系统的方法和装置,1
China,2013.0,分析装置及分析方法,1
China,2013.0,苯并咔唑化合物的肟酯衍生物及其在可光聚合组合物中作为光敏引发剂的用途,1
China,2013.0,作为随钻测井工具的钻头处的小岩心生成和分析,1
China,2013.0,包含消除应力的光学粘合剂的光学组件及其制备方法,1
China,2013.0,铁磁流体中目标物质的微流处理,1
China,2013.0,用于挖掘机的碰撞探测和减缓系统及其方法,1
China,2013.0,曝光装置、移动体装置、平板显示器的制造方法、及元件制造方法,1
China,2013.0,用于细胞处理相关应用的系统和设备,1
China,2013.0,引导装置、检测装置以及姿势状态判定装置,1
China,2013.0,具有猫砂破碎装置的猫砂盒,1
China,2013.0,具有esp速度控制器和紧急隔离阀门的群集式井口干线保护和测试系统,1
China,2013.0,强岩爆隧洞微震监测与应力解除施工方法,1
China,2013.0,表面嵌入添加剂的结构和相关制造方法,1
China,2013.0,一种小饼茶自动化压制成型设备及其压制成型工艺过程,1
China,2013.0,自动浇注装置以及向铸模进行浇注的浇注方法,1
China,2013.0,一种用水泥土加固法抑制水平冻结冻胀融沉的施工方法,1
China,2013.0,有机发光元件、有机金属配合物、发光装置、电子设备以及照明装置,1
China,2013.0,远程控制的食物处理机,1
China,2013.0,用于通过解聚来进行完全回收利用的方法和装置,1
China,2013.0,从稀相超细矿物悬浮液中收集固体矿粒的过滤系统及其方法,1
China,2013.0,用于定向生物标志信号放大的试剂,1
China,2013.0,对经济高效的太阳能汇聚和利用系统的改进,1
China,2013.0,头发修护组合物及相关方法,1
China,2013.0,预测患者的存活性的系统和装置,1
China,2013.0,用于检测分析物的装置,1
China,2014.0,共轭聚合物,3
China,2014.0,一种智能温室大棚控制系统,2
China,2014.0,苗移植机,2
China,2014.0,马铃薯种植物联网监测、控制及信息服务云平台综合系统,1
China,2014.0,用于基本上恒压注塑薄壁部件的方法和设备,1
China,2014.0,用于可逆的离子和分子感测或迁移的纳米孔装置,1
China,2014.0,用于光学检测至少一种物体的检测器,1
China,2014.0,用于监测和改善雇员的认知及情绪健康的系统,1
China,2014.0,湿度传感器,1
China,2014.0,利用过滤器和微结构化表面检测样品中所关注分析物的方法,1
China,2014.0,外壳、电子设备、装置、方法及扁平物体弹出器组件,1
China,2014.0,用于一次性生物技术方法的改良深层滤器,1
China,2014.0,具有改进的水可溶胀材料的吸收结构,1
China,2014.0,螺二氢吖啶衍生物和其作为有机电致发光器件用材料的用途,1
China,2014.0,用于监测和改善雇员的健康和生产率的椅垫系统以及相关的计算机介质和计算机实现方法,1
China,2014.0,使用具有易碎联接件的rf电路的湿度传感器,1
China,2014.0,预制构件自动化生产系统,1
China,2014.0,一种便于药剂计量和调节的加药装置及其方法,1
China,2014.0,用于调制饮品和浓缩咖啡饮品制作的装置和方法,1
China,2014.0,利用结构化基层构造和相关的系统从含烃物质中回收烃的方法,1
China,2014.0,一种事故预防系统及包含该事故预防系统的车辆,1
China,2014.0,用于监测和改善雇员的健康和生产率的计算机鼠标系统,1
China,2014.0,用于空穴注入和传输层的经改善的掺杂方法,1
China,2014.0,用于监测和改善雇员的健康和生产率的地垫系统以及相关的计算机介质和计算机实现方法,1
China,2014.0,连续的多流体泵装置、驱动和致动系统以及方法,1
China,2014.0,用于制备牙科修复物的方法和系统,1
China,2014.0,用于流体样本的表面声波处理的射流装置、射流装置的用途以及制造射流装置的方法,1
China,2014.0,显影剂补充盒及显影剂补充方法,1
China,2014.0,塑性混凝土小型构件自动化生产线,1
China,2014.0,微结构化光学透明的粘合剂,1
China,2014.0,具有改进握把的装饰性的可探测警告面板,1
China,2014.0,一种基于纳米纤维素的柔性导电纸及其制备方法,1
China,2014.0,用于体液的内联储存袋,1
China,2014.0,固态灯和形成方法,1
China,2014.0,一种灌溉远程智能控制系统通用开发平台及开发方法,1
China,2014.0,运动机能减退和/或运动机能亢进状态的检测,1
China,2014.0,具有水软化装置的衣物洗涤机,1
China,2014.0,光学构件及用于制造该光学构件的紫外线固化型胶粘剂,1
China,2014.0,一种果蔬清洗装置,1
China,2014.0,利用微结构化表面检测样品中的所关注分析物的系统和方法,1
China,2014.0,洗衣机,1
China,2014.0,具有高效冷却装置的移动数据中心单元,1
China,2014.0,结合人补体c5的多肽,1
China,2014.0,移植机,1
China,2014.0,包括多组分纤维和中空陶瓷微球的制品及其制备和使用方法,1
China,2014.0,可拉伸半导体元件、可拉伸电路及其制造方法,1
China,2014.0,用于活体外器官护理的系统和方法,1
China,2014.0,肝x受体调节剂,1
China,2014.0,穿着式动作辅助装置,1
China,2014.0,带有受pwm控制的螺线管泵的产品分配系统,1
China,2014.0,气体封闭组件和系统的组合,1
China,2014.0,化合物、金属氧化物粒子及其制备方法和用途,1
China,2014.0,集成可展开麻醉系统,1
China,2014.0,容器处理设备和容器处理方法,1
China,2014.0,衣物洗涤机,1
China,2014.0,二极管、二极管或其他二端集成电路的液体或胶体悬浮液的可印组成物及其制备方法,1
China,2014.0,垃圾转运站环境提标配套系统,1
China,2014.0,器具和用于该器具的部件,1
China,2015.0,肟酯光敏引发剂,1
China,2015.0,在结构聚合装置中tlr激动剂的控制传递,1
China,2015.0,以流通方式从生物药物制剂中去除蛋白质聚集体,1
China,2015.0,包含石墨烯的热电材料和装置,1
China,2015.0,使用多个摄像头的单个多车辆停车位的控制使用,1
China,2015.0,电池、电解质层、电池组、电子设备、电动车辆、蓄电装置以及电力系统,1
China,2015.0,采用神经调节装置的生物标志物取样和相关系统及方法,1
China,2015.0,人员危机通信管理系统,1
China,2015.0,使管柱进入或通过井筒变形且相异的邻接壁的方法和设备,1
China,2015.0,稳定的方向控制系统和方法,1
China,2015.0,用于产生车辆使用模型的设备和系统,1
China,2015.0,用于自动校正膜片架上的晶圆的旋转错位的系统和方法,1
China,2015.0,一种建筑工业化混凝土预制构件的自动生产线,1
China,2015.0,用于眼科诊断和介入操作的患者接口,1
China,2015.0,一种盾构管片预制智能流水生产线,1
China,2015.0,智能种植管理方法和智能种植设备,1
China,2015.0,益生生物和/或治疗剂的靶向胃肠道递送,1
China,2015.0,用于有三维成像焊接路径控制的自动高温合金激光熔覆的方法,1
China,2015.0,使用电石石灰的方法和系统,1
China,2015.0,井,1
China,2015.0,分离器、电池、电池组、电子设备、电动车辆、电力储存装置以及电力系统,1
China,2015.0,用于食品制备机器中的胶囊,1
China,2015.0,安全阀控制系统及使用方法,1
China,2015.0,碳纤维增强树脂组合物、碳纤维增强树脂组合物的制造方法、成型材料、成型材料的制造方法和碳纤维增强树脂成型品,1
China,2015.0,流控制装置和方法,1
China,2015.0,固体摄影组件用光学滤波器及其用途,1
China,2015.0,冰箱、相机装置,1
China,2015.0,电子可切换的保密装置,1
China,2015.0,制备表面后交联吸水性聚合物颗粒的方法,1
China,2015.0,具经改善的损坏容忍度的强化硼硅酸盐玻璃容器,1
China,2015.0,基于对象行为测定和协作相对定位的冲突解决,1
China,2015.0,生物分子的纯化,1
China,2015.0,有形对象与扩增实境对象的交互,1
China,2015.0,一种大体积混凝土全过程智能温度控制系统及方法,1
China,2015.0,共轭聚合物,1
China,2015.0,可植入的超疏水表面,1
China,2015.0,带有rfid特征激活的灌注系统,1
China,2015.0,单细胞的机械表型化：高通量定量检测和分选,1
China,2015.0,层状聚合物结构和方法,1
China,2015.0,家庭阳台智能菜园系统,1
China,2015.0,洗衣机,1
China,2015.0,用于脂质体纳米颗粒的修饰的药物,1
China,2015.0,脲基和聚氨基甲酸酯基压敏粘合剂共混物,1
China,2015.0,具有引导滑轨部的多尺寸料盒提取单元,1
China,2015.0,对骨进行脱细胞化的方法,1
China,2015.0,包含高粘度液体载体的可注射控制释放组合物,1
China,2015.0,微型智能温室,1
China,2015.0,模块化现场护理装置及其应用,1
China,2015.0,双面移动空气净化植物墙,1
China,2016.0,叠层体的加工装置及加工方法,1
China,2016.0,混凝土开裂全过程仿真试验机,1
China,2016.0,一种远程无线农田监控系统和方法,1
China,2016.0,用于组织的制造的自动化设备、系统和方法,1
China,2016.0,一种温室水肥气热一体化智能灌溉系统,1
China,2016.0,考虑注塑运行期间材料特性的变化的注塑机和方法,1
China,2016.0,多层抛光垫,1
China,2016.0,支撑剂的加成制造,1
China,2016.0,利用上转换材料和下转换材料的颜色增强,1
China,2016.0,抗体-药物缀合物及使用和治疗方法,1
China,2016.0,一种悬挂式无人机水质采样器系统,1
China,2016.0,用于质谱分析的方法、装置及系统,1
China,2016.0,发光的二氮杂苯并咪唑碳烯金属配合物,1
China,2016.0,微流体检验装置及其运作方法,1
China,2016.0,多功能智能养殖饲育系统,1
China,2016.0,具有增强的耐久性的经液体浸渍的表面,1
China,2016.0,肟酯光引发剂,1
China,2016.0,用于管理容器或其内容物的系统和方法,1
China,2016.0,园林智能灌溉系统及灌溉方法,1
China,2016.0,集成变压器健康监测架构,1
China,2016.0,能量存储系统,1
China,2016.0,氢氧化物浆液的制备方法和装置,1
China,2016.0,啤酒酿造设备及酿造方法,1
China,2016.0,用于医疗回路的组件,1
