year,count,country,inventor
Brazil,2017,Mathias Marcellus Kuijpers,1
Brazil,2017,Geert Johannes Lok,1
Brazil,2018,Kevin S. Currie,1
Brazil,2018,Jeffrey E. Kropf,1
Brazil,2018,Jianjun Xu,1
Brazil,2018,Christian Gege,1
Brazil,2018,Peter A. Blomgren,1
Brazil,2020,Kathryn Lynn Wilberding,2
Brazil,2020,Rajesh Sur,2
Brazil,2020,Andries Sebastian,2
Brazil,2020,Vahid Hejazi,2
Brazil,2020,William Bryan Carr,1
Brazil,2020,Billy Tyrone Conner,1
Brazil,2020,Stephen B. Sears,1
Brazil,2020,Timothy Thomas,1
Brazil,2020,Thaddeus Jackson,1
Brazil,2020,Timothy Frederick Thomas,1
Brazil,2020,Paul Braxton,1
Brazil,2020,Steve Worm,1
Brazil,2020,Curtis Foster Doe,1
Brazil,2020,Billy Conner,1
Brazil,2020,Paul E. Braxton,1
Brazil,2020,S. Keith Cole,1
Brazil,2020,Stephen Benson Sears,1
Brazil,2021,Edward Z Cai,1
Brazil,2021,Vahid Hejazi,1
Canada,1987,Michel J. Vincent,1
Canada,1991,Jean-Pierre Charton,1
Canada,1991,Henri Batut,1
Canada,1991,Gilbert Gasquet,1
Canada,1993,Robert Frances,1
Canada,1994,Fred Zacouto,1
Canada,1996,Claude Campeau,1
Canada,1997,Jean-Francois Briat,1
Canada,1997,Alain-Michel Boudet,1
Canada,1997,Magalie Pichon,1
Canada,1997,Jacqueline Grima-Pettenati,1
Canada,1997,Pascal Gamas,1
Canada,1997,Michel Beckert,1
Canada,2001,Pascual Perez,1
Canada,2001,Marc Purcell,1
Canada,2001,Michel Zivy,1
Canada,2002,Dominique Cebola,1
Canada,2002,Michel Dore,1
Canada,2002,Jean Sicotte,1
Canada,2002,Lionel Charpin,1
Canada,2002,Josee Monast,1
Canada,2002,Louis-R. Allard,1
Canada,2003,Jose Rodrigues,1
Canada,2003,Flavien Dobrowolski,1
Canada,2005,Roger Pellenc,1
Canada,2005,Ke Xue,1
Canada,2005,David Mark Leatham,1
Canada,2005,G. Allen Hamblen,1
Canada,2005,Daniel Bruce Smith,1
Canada,2005,W. Michael Russell,1
Canada,2005,Rodolphe Barrangou,1
Canada,2005,Nozomu Nishi,1
Canada,2005,Tri Duong,1
Canada,2005,Aiko Ito,1
Canada,2005,Mitsuomi Hirashima,1
Canada,2005,Todd Robert Klaenhammer,1
Canada,2005,Akira Yamauchi,1
Canada,2005,Eric Altermann,1
Canada,2006,Tomoyuki Igawa,2
Canada,2006,Hiroyuki Tsunoda,1
Canada,2006,Daisuke Kameoka,1
Canada,2006,R. Todd Studebaker,1
Canada,2006,David J. Edlund,1
Canada,2006,Sophie Messager,1
Canada,2006,Mark Carlton,1
Canada,2006,Alan Hendrick,1
Canada,2006,Nicola Brice,1
Canada,2006,Isabelle Malinge,1
Canada,2006,Dirk Zahn,1
Canada,2006,John Dixon,1
Canada,2007,Helene Boze,1
Canada,2007,Andre Aumelas,1
Canada,2007,Guy Moulin,1
Canada,2007,Ling Liu,1
Canada,2007,Lihua Huang,1
Canada,2007,Kingman Ng,1
Canada,2007,Chi-Kin Chow,1
Canada,2007,Jonathan Wendell Tetreault,1
Canada,2007,Andrew Gordon Werner,1
Canada,2007,Jirong Lu,1
Canada,2007,Barrett Allan,1
Canada,2007,Keith E. Mcdade,1
Canada,2007,Dieter Schaefer,1
Canada,2007,Hans-Joachim Alt,1
Canada,2007,John H. Leamon,1
Canada,2007,Samuel Chao,1
Canada,2007,Mark Han,1
Canada,2007,Eugene W. Myers,1
Canada,2007,Choong-Chin Liew,1
Canada,2007,Jerry Charumilind,1
Canada,2007,Greg A. Volkmer,1
Canada,2007,James R. Knight,1
Canada,2007,Wilhelm Glab,1
Canada,2007,Run Zheng,1
Canada,2007,Matthias Grehl,1
Canada,2007,John W. Simpson,1
Canada,2007,Joseph M. Fierro,1
Canada,2007,Hongwei Zhang,1
Canada,2007,Horst Meyer,1
Canada,2007,Thomas Yager,1
Canada,2007,Christian Nowottny,1
Canada,2008,Marc Benderitter,1
Canada,2008,Odile Carvalho,1
Canada,2008,Johan Fournel,1
Canada,2008,Laurence Roy,1
Canada,2008,Alain Lunati,1
Canada,2008,Olena Danylova,1
Canada,2008,Detlef Bolz,1
Canada,2008,Thierry Waeckerle,1
Canada,2010,Christophe Vieu,1
Canada,2010,Antoine Piccirilli,1
Canada,2010,Christiane Montastier,1
Canada,2010,David Peyrade,1
Canada,2010,Michel Duval,1
Canada,2010,Jean-Pierre Peyrade,1
Canada,2010,Laurent Malaquin,1
Canada,2010,Patricia Manissier,1
Canada,2011,Dick Eric Zoutman,1
Canada,2011,Michael Edward Shannon,1
Canada,2012,Didier GAMET,1
Canada,2012,Chantal PEROT,1
Canada,2012,Kevin BUFFENOIR-BILLET,1
Canada,2013,Jacques Barbier,1
Canada,2013,Thierry Ferreira,1
Canada,2013,Cedric Dever,1
Canada,2013,Frederic Bataille,1
Canada,2013,H. Michael Shepard,1
Canada,2013,Ge Wei,1
Canada,2013,Lei Huang,1
Canada,2013,Gregory Ian Frost,1
Canada,2013,Daniel Edward Vaughn,1
Canada,2014,Xianming Jimmy Li,1
Canada,2014,Debashis Neogi,1
Canada,2014,Erdem Arslan,1
Canada,2014,Pratik Misra,1
Canada,2014,Sylvain Savard,1
Canada,2014,Gerardo Buelna,1
Canada,2014,Rino Dube,1
Canada,2014,Thomas Thibault,1
Canada,2014,Paul Lessard,1
Canada,2014,Ingo Stork Genannt Wersborg,1
Canada,2014,Eric P. Koehler,1
Canada,2014,Roy J. Cooley,1
Canada,2014,Meriem BAH IRA,1
Canada,2014,Mark F. Roberts,1
Canada,2014,Richard K. JORDAN,1
Canada,2015,Jose Kovensky,1
Canada,2015,Eric Grand,1
Canada,2015,Imane STASIK,1
Canada,2015,Philippe Giordanengo,1
Canada,2015,Jacques ATTOUMBRE,1
Canada,2015,Virginie GOBERT-DEVEAUX,1
Canada,2015,Remi Beaulieu,1
Canada,2015,Yan Glina,1
Canada,2015,Lawrence R. Roberts,1
Canada,2015,Richard K. JORDAN,1
Canada,2015,Mark F. Roberts,1
Canada,2015,Nathan A. Tregger,1
Canada,2015,Eric P. Koehler,1
Canada,2015,Olivier Geneste,1
Canada,2015,James Brooke MURRAY,1
Canada,2015,Jean-Michel Henlin,1
Canada,2015,Jerome-Benoit Starck,1
Canada,2015,I-Jen Chen,1
Canada,2015,James Edward Paul Davidson,1
Canada,2015,Guillaume De Nanteuil,1
Canada,2015,Arnaud Le Tiran,1
Canada,2015,Thierry Le Diguarher,1
Canada,2016,Guylene Le Guen,1
Canada,2016,Philippe Petard,1
Canada,2016,Kevin Cail,1
Canada,2016,Dean Paul Forgeron,1
Canada,2016,Paul J. Sandberg,1
Canada,2016,George Sean Monkman,1
Canada,2016,Mark Macdonald,1
Canada,2016,Joshua Jeremy Brown,1
Canada,2017,Elizabeth Jayne Wallace,1
Canada,2017,Lakmal Jayasinghe,1
Canada,2017,Lei S. QI,1
Canada,2017,Michel Champagne,1
Canada,2017,Christian Lebeau Jacob,1
Canada,2017,Sonia Desjardins,1
Canada,2017,P.C. Dave P. Dingal,1
Canada,2018,Scott MASSEY,1
Canada,2019,Christoph Bauer,1
Canada,2019,Sabine Gubatz,1
Canada,2019,Ludmilla Dahl,1
Canada,2019,Christian Jebsen,1
Canada,2019,Serge Germanetti,1
Canada,2019,Charles Howard CELLA,1
Canada,2019,Daniel Michael Leo,1
Canada,2019,Guido Angenendt,1
Canada,2019,Kaitlin Emily HARRINGTON,1
Canada,2019,Brian Christopher ATTWOOD,1
Canada,2019,Mehul Desai,1
Canada,2019,Timo BONGARTZ,1
Canada,2019,Norbert Haas,1
Canada,2019,Sebastian Olschowski,1
Canada,2019,Norbert Magg,1
Canada,2019,Marek Burza,1
Canada,2019,Ravi Chandran,1
Canada,2019,Dave G. Newport,1
Canada,2019,Daniel A. Burciaga,1
Canada,2019,Gerald William Duffy Jr.,1
Canada,2019,Justin Kevin MILLER,1
Canada,2019,Jeffrey P. MCGUCKIN,1
Canada,2020,Ernest Sanders,2
Canada,2020,Karsten TEMME,2
Canada,2020,Mark REISINGER,2
Canada,2020,Catherine VERONNEAU,1
Canada,2020,Jean-Philippe Lucking Bigue,1
Canada,2020,Marc Denninger,1
Canada,2020,Jordane GRENIER,1
Canada,2020,Jean-Sebastien Plante,1
Canada,2020,Pascal Larose,1
Canada,2020,Charles H. CELLA,1
Canada,2020,Teymour S. EL-TAHRY,1
Canada,2020,Norbert Haas,1
Canada,2020,Timo BONGARTZ,1
Canada,2020,Marek Burza,1
Canada,2020,Sebastian Olschowski,1
Canada,2020,Cristin Dziekonski,1
Canada,2020,Alvin TAMSIR,1
Canada,2020,Rosemary CLARK,1
Canada,2020,Guido Angenendt,1
Canada,2020,Norbert Magg,1
Canada,2020,Sarah BLOCH,1
Canada,2020,Richard BROGLIE,1
Canada,2021,Teymour S. EL-TAHRY,3
Canada,2021,Andrew Cardno,3
Canada,2021,Charles Howard CELLA,3
Canada,2021,Jenna Lynn Parenti,2
Canada,2021,Jenna PARENTI,2
Canada,2021,Hardik Gupta,1
Canada,2021,Tamas PRILESZKY,1
Canada,2021,Saneesh BHASKARAN,1
Canada,2021,Vincent POULICHET,1
Canada,2021,Satheesh Murugan,1
Canada,2021,Jeffrey P. MCGUCKIN,1
Canada,2021,Charles H. CELLA,1
Canada,2021,Brent BLIVEN,1
Canada,2021,Richard Spitz,1
Canada,2021,Teymour El-Tahry,1
Canada,2021,Duffy. Gerald William Jr.,1
Canada,2021,Joshua DOBROWITSKY,1
Canada,2021,Taylor D. Charon,1
Canada,2022,Andrew Cardno,3
Canada,2022,Jeffrey P. MCGUCKIN,2
Canada,2022,Teymour S. EL-TAHRY,2
Canada,2022,Charles H. CELLA,2
Canada,2022,Brent BLIVEN,2
Canada,2022,Brad Kell,1
Canada,2022,Gerald William Duffy Jr.,1
Canada,2022,Jenna PARENTI,1
Canada,2022,Joshua DOBROWITSKY,1
Canada,2022,Sava Marinkovich,1
Canada,2022,Richard Spitz,1
Canada,2022,Gwenael Charron,1
Canada,2022,Jr. Gerald William Duffy,1
Canada,2022,Eric Lefebvre,1
Canada,2022,Kunal SHARMA,1
Canada,2022,Taylor D. Charon,1
Canada,2022,Charles Howard CELLA,1
China,2006,山田雅彦,1
China,2006,川上秀树,1
China,2006,村田彰一,1
China,2006,木村智明,1
China,2006,陈建,1
China,2007,D·F·德卢戈斯,2
China,2007,W·L·小哈斯勒,2
China,2007,D·克拉克·特纳,1
China,2007,市川智之,1
China,2007,D·D·德沃尔,1
China,2007,杉浦英树,1
China,2007,中山慎也,1
China,2007,增田稔,1
China,2007,D·J·阿里奥拉,1
China,2007,P·D·胡斯塔德,1
China,2007,内海知子,1
China,2007,望月贤,1
China,2007,E·M·卡纳汉,1
China,2007,T·T·温策尔,1
China,2007,R·L·库尔曼,1
China,2007,前畑英雄,1
China,2007,L·S·威纳,1
China,2007,水谷则之,1
China,2007,吉野进,1
China,2007,艾伦·韦尔斯,1
China,2007,A·L·费勒里,1
China,2007,吉田聪,1
China,2007,琳达·G·格里菲思,1
China,2007,卡雷尔·多曼斯基,1
China,2007,R·L·霍尔斯彻,1
China,2007,史蒂文·R·坦嫩鲍姆,1
China,2007,顾大强,1
China,2007,许永健,1
China,2007,姜少云,1
China,2007,刘会勇,1
China,2007,刘小勇,1
China,2007,许洋,1
China,2007,北桥敏幸,1
China,2007,许传森,1
China,2007,黄前春,1
China,2007,詹志平,1
China,2007,钱丽英,1
China,2007,林茂幸,1
China,2007,李伟,1
China,2007,盛骏,1
China,2007,莫晓燕,1
China,2007,南龙一,1
China,2007,张健,1
China,2007,文野裕一,1
China,2007,陈勇军,1
China,2007,田林,1
China,2007,福冈义刚,1
China,2008,W·L·小哈斯勒,1
China,2008,S·G·马休斯,1
China,2008,林宜龙,1
China,2008,T·A·马修,1
China,2008,陈有章,1
China,2008,O·C·穆林斯,1
China,2008,G·丹特辛,1
China,2008,谢敏辅,1
China,2008,唐召来,1
China,2008,G·古斯塔夫森,1
China,2008,M·杨,1
China,2008,D·F·德卢戈斯,1
China,2008,J·F·莱曼,1
China,2008,P·J·桑泰尔,1
China,2008,杨科应,1
China,2008,J·李,1
China,2008,W·J·小卡斯特尔,1
China,2008,R·埃斯凡德,1
China,2008,B·拉胡拉曼,1
China,2008,S·V·伊瓦诺夫,1
China,2008,S·S·贝坦库尔特,1
China,2008,G·P·佩茨,1
China,2008,A·汉马米,1
China,2008,J·A·奈斯万德,1
China,2008,L·赖德,1
China,2008,张松岭,1
China,2008,T·达维斯,1
China,2008,A·约阿基姆,1
China,2008,V·N·戈拉尔,1
China,2008,克·里,1
China,2008,A·J·博伊姆纳,1
China,2008,H·库拉,1
China,2008,F·基亚雷拉,1
China,2008,A·马特素莫托,1
China,2008,M·奥瓦,1
China,2008,D·V·温亚穆里,1
China,2008,设乐泰祯,1
China,2008,K·威德,1
China,2008,N·L·马塔,1
China,2008,巴里·弗里尔,1
China,2008,D.·迈克尔·菲斯比,1
China,2008,罗伯特·格雷厄姆,1
China,2008,安德里亚·茨安格瑞斯,1
China,2008,K·J·厄克特,1
China,2008,N·V·扎伊特塞瓦,1
China,2008,乔尔·费恩利,1
China,2008,肯尼思·C.·坎贝尔,1
China,2008,尤斯·兰姆,1
China,2008,J·塔纳布,1
China,2008,K·尼科尔斯,1
China,2008,中山慎也,1
China,2008,岩本康敬,1
China,2008,P·K·达斯,1
China,2008,S·D·S·克瓦奇,1
China,2008,P·科尔劳施,1
China,2008,肯尼思·G·马克拿玛瑞,1
China,2008,J·利希特,1
China,2008,C·布瑟马特,1
China,2008,斯图尔特·保尔沃特,1
China,2008,小番昭宏,1
China,2008,K·L·德佩尔曼,1
China,2008,L·朱拉多,1
China,2008,H·塞勒,1
China,2008,S·R·努根,1
China,2008,皮耶罗·祖凯利,1
China,2008,巴尔特·范德维维尔,1
China,2008,H·勒芬,1
China,2008,郭培宣,1
China,2008,魏珉,1
China,2008,I·韦默,1
China,2008,M·阿鲍-阿利,1
China,2008,E·谢伯,1
China,2008,G·梅尔,1
China,2009,设乐泰祯,2
China,2009,岩本康敬,2
China,2009,冈繁树,1
China,2009,D·T·克尼恩,1
China,2009,A·E·赖特,1
China,2009,A·F·阿布德莫特勒布,1
China,2009,布赖恩·K·豪泽,1
China,2009,小山博和,1
China,2009,M·东佐,1
China,2009,A·D·兰茨,1
China,2009,D·克齐兰,1
China,2009,B·R·伦德马克,1
China,2009,V·A·托波尔卡雷夫,1
China,2009,J·M·希尔,1
China,2009,M·A·梅西纳,1
China,2009,M·斯利曼,1
China,2009,宫泽一宏,1
China,2009,J·瓦伦塔格,1
China,2009,马修·J·卡洛,1
China,2009,托马斯·加利亚诺,1
China,2009,W·S·亨特,1
China,2009,J·A·罗杰斯,1
China,2009,R·A·格兰特,1
China,2009,岩垣贤,1
China,2009,R·M·诺瓦克,1
China,2009,G·S·费希尔,1
China,2009,佐藤彰,1
China,2009,P·杜弗纳,1
China,2009,S·J·斯潘斯,1
China,2009,佐藤浩一,1
China,2009,T·D·皮尔,1
China,2009,R·T·考夫曼,1
China,2009,F·韦尔斯,1
China,2009,T·R·汉森,1
China,2009,S·埃滕伯格,1
China,2009,J·舒洛克,1
China,2009,G·鲁瑟尔,1
China,2009,村上隆,1
China,2009,道格拉斯·沃格特,1
China,2009,E·梅纳德,1
China,2009,G·J·怀德曼,1
China,2009,田坂公志,1
China,2009,B·R·查普曼,1
China,2009,T·P·博尔戈恩,1
China,2009,J·J·克鲁格,1
China,2009,斯尼扎纳·德马纳克,1
China,2009,M·费什曼,1
China,2009,R·A·奈尔,1
China,2009,艾弗·J·弗伦,1
China,2009,S·哈里斯,1
China,2009,J·查克拉瓦蒂,1
China,2009,G·朗哈姆,1
China,2009,久保伸夫,1
China,2009,F·从,1
China,2009,拉多杰·德马纳克,1
China,2009,J·T·佩吉,1
China,2009,柯克·D·希格纳,1
China,2009,J·M·赞德,1
China,2009,大森滋人,1
China,2009,M·尼德哈姆,1
China,2009,M·巴德罗夫,1
China,2009,乔治·杨,1
China,2009,S·厄林格,1
China,2009,R·威尔逊,1
China,2009,邢培铎,1
China,2009,若松慎一,1
China,2009,克里斯托弗·詹姆斯·达内克,1
China,2009,M·麦基尔南,1
China,2009,D·M·费斯拜,1
China,2009,山下裕士,1
China,2009,A·乔塔利亚,1
China,2009,S·G·科台尔,1
China,2009,程京,1
China,2009,威廉姆·克罗斯,1
China,2009,渡边真弘,1
China,2009,安德鲁·I·普替亚廷,1
China,2009,项光新,1
China,2009,J·M·德罗日,1
China,2009,塞吉欧·瑟哈菲尼,1
China,2009,范秀敏,1
China,2009,邢婉丽,1
China,2009,皮埃尔·特兰尚,1
China,2009,P·B·马索,1
China,2009,石挂悟,1
China,2009,Z·朱,1
China,2009,阿尔伯托·罗贝塔,1
China,2009,R·特威德尔三世,1
China,2009,中山慎也,1
China,2009,望月学,1
China,2009,K·佩斯,1
China,2009,A·特沙科里斯,1
China,2009,权雪玲,1
China,2009,布鲁斯·F·菲尔德,1
China,2009,托马斯·斯科瑞克,1
China,2009,N·E·金瑟,1
China,2009,间瀬惠二,1
China,2009,佐藤孝典,1
China,2009,J·A·阿滕,1
China,2009,查尔斯·瑞姆珀索德,1
China,2009,岸田宏之,1
China,2009,于中尧,1
China,2009,O·赖诺,1
China,2009,黑鸟恒夫,1
China,2009,约翰·托,1
China,2009,M·G·霍奇斯,1
China,2009,保罗·埃斯库德罗,1
China,2009,J·L·温伯格,1
China,2009,L·卡托卡拉安,1
China,2009,N·康韦,1
China,2009,M·斯温,1
China,2009,邢培山,1
China,2009,S·达塔,1
China,2009,V·R·高斯康达,1
China,2009,A·贝扎西尔-马希特,1
China,2009,P·Y·帕迪尔,1
China,2009,石桥正三,1
China,2009,朱璟,1
China,2009,胡玉明,1
China,2009,R·T·王,1
China,2009,帕特里克·J·格鲁兰德,1
China,2009,杉本强,1
China,2009,荒井义博,1
China,2009,杨超,1
China,2009,S·阿迪蒂,1
China,2009,N·N·帕里克,1
China,2009,兰迪·D·寇特莱特,1
China,2009,萨斯喀·瑞特里奥,1
China,2009,S·D·巴沙姆,1
China,2009,P·辛普森,1
China,2009,D·托尔曼,1
China,2009,加藤博秋,1
China,2009,中武直树,1
China,2009,不破一兴,1
China,2009,M·布瑞斯特,1
China,2009,御厨义博,1
China,2009,杨喜雅,1
China,2009,N·昆塔纳,1
China,2009,D·迈克谢里,1
China,2009,玛格丽特·斯温,1
China,2009,邹小平,1
China,2009,K·洛克斯莫,1
China,2009,阿利斯代尔·艾伦·麦克莱恩,1
China,2009,安永英明,1
China,2009,托马斯·爱德华·瓦格勒,1
China,2009,帕斯卡莱·邦尼·马索,1
China,2009,D·K·王,1
China,2009,叶木雅之,1
China,2009,安德烈亚斯·灿格瑞斯,1
China,2009,渡边阳一郎,1
China,2009,M·舒尔茨,1
China,2009,R·斯特劳布,1
China,2009,李俊忠,1
China,2009,道格拉斯·迈克尔·菲斯比,1
China,2009,J·R·佩蒂塞,1
China,2009,S·圣,1
China,2009,肯尼思·克雷格·坎贝尔,1
China,2009,K·M·渥,1
China,2009,A·U·卡马斯,1
China,2009,V·斯旺森,1
China,2009,J·S·利奇,1
China,2010,N·比特米德,2
China,2010,A·科洛普范斯坦,2
China,2010,R·L·莫里森,2
China,2010,C·鲁施,2
China,2010,A·A·巴勒拉奥,2
China,2010,B·吉耶曼,2
China,2010,J·P·赫瑞克,2
China,2010,E·莫克,2
China,2010,小坂时弘,1
China,2010,F·C·小斯佐卡,1
China,2010,保罗·A·麦卡伦,1
China,2010,黄兆华,1
China,2010,雷诺·费拉,1
China,2010,R·普雷蒂,1
China,2010,安东尼·莫里西,1
China,2010,威廉·乔治·厄文,1
China,2010,戈弗雷·罗兰·谢里夫,1
China,2010,T·A·塞德,1
China,2010,J·F·什切巴,1
China,2010,A·戴维·伍尔夫森,1
China,2010,图沙尔·南达,1
China,2010,J·H·阿斯,1
China,2010,大久保孝一,1
China,2010,瑞安·F·唐纳利,1
China,2010,唐·马鲁基拉,1
China,2010,丹尼尔·福斯勒夫,1
China,2010,D·崔,1
China,2010,德斯蒙德·伊恩·约翰·莫罗,1
China,2010,T·M·D·格罗茨,1
China,2010,冈本敦,1
China,2010,谷和彦,1
China,2010,河野聪,1
China,2010,不公告发明人,1
China,2010,河村崇仁,1
China,2010,内山智美,1
China,2010,理查德·L·华森,1
China,2010,G·库珀,1
China,2010,格雷戈里·J·阿咸宾,1
China,2010,安东尼·B·伍德,1
China,2010,池田隆之,1
China,2010,F·诺莱利,1
China,2010,黑川敦史,1
China,2010,R·奥利弗瑞,1
China,2010,S·富塔纳,1
China,2010,冈昌弘,1
China,2010,又野仁,1
China,2010,D·L·琼斯,1
China,2010,F·伯尔蒂,1
China,2010,P·科斯坦蒂诺,1
China,2010,G·巴卓奇,1
China,2010,C·M·司卡拉,1
China,2010,黒川义元,1
China,2010,小林真盛,1
China,2010,L·莫林斯,1
China,2010,尼古拉斯·利昂·希尔德莱思,1
China,2010,安德鲁·查尔斯·奥斯本,1
China,2010,丹尼斯·索萨,1
China,2010,尼文·莱斯·布朗,1
China,2010,伊丽莎白·汉森,1
China,2010,基思·布伦金索普,1
China,2010,D·帕顿,1
China,2010,艾哈迈德·埃尔贝塔诺尼,1
China,2010,乔瓦尼·切切雷,1
China,2010,温斯顿·杜安格·威克汉姆,1
China,2010,D·史密斯,1
China,2010,塔梅尔·卡亚尔,1
China,2010,保罗·莱兹伯格,1
China,2010,有贺徹,1
China,2010,瓦利德·哈桑内,1
China,2010,克里斯多佛·阿纳鲁·雷诺士,1
China,2010,波尔塔克·西蒂亚克,1
China,2011,董小友,1
